epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1528,0.46996,0.75019,0.80623,0.69145,0.76525,0.78696,0.72787,0.36933,0.73345,0.78219,0.000662651,0.000662651,0.000662651
2,76.6221,0.4815,0.78911,0.8092,0.59461,0.91062,0.75008,0.69545,0.3765,0.72394,0.78379,0.001303,0.001303,0.001303
3,113.799,0.49188,0.80962,0.81038,0.58954,0.82506,0.77899,0.71287,0.397,0.81564,0.78799,0.00191694,0.00191694,0.00191694
4,150.616,0.50097,0.7851,0.8145,0.5796,0.83728,0.7164,0.6555,0.40291,0.91651,0.78894,0.0018812,0.0018812,0.0018812
5,187.842,0.49305,0.80804,0.81204,0.58245,0.83346,0.74466,0.67908,0.39874,1.2318,0.78984,0.0018416,0.0018416,0.0018416
6,224.845,0.50666,0.81596,0.81213,0.60766,0.79679,0.72924,0.66727,0.39542,0.98816,0.78791,0.001802,0.001802,0.001802
7,261.872,0.48686,0.80775,0.81027,0.60984,0.82811,0.72949,0.67596,0.3728,0.7923,0.78392,0.0017624,0.0017624,0.0017624
8,299.585,0.48625,0.78199,0.81112,0.6196,0.84241,0.75858,0.68629,0.42395,0.9167,0.79408,0.0017228,0.0017228,0.0017228
9,337.196,0.48814,0.77832,0.80981,0.57739,0.83652,0.72562,0.67342,0.37393,0.82137,0.78416,0.0016832,0.0016832,0.0016832
10,374.598,0.48918,0.78963,0.81263,0.61207,0.822,0.69612,0.63534,0.40426,0.91424,0.78629,0.0016436,0.0016436,0.0016436
11,411.798,0.48301,0.77806,0.80863,0.49404,0.89152,0.53544,0.48914,0.40482,1.04869,0.78939,0.001604,0.001604,0.001604
12,449.551,0.47493,0.77737,0.80746,0.63992,0.74026,0.74718,0.69152,0.36765,0.78472,0.781,0.0015644,0.0015644,0.0015644
13,486.901,0.47179,0.78857,0.81068,0.62914,0.82429,0.75682,0.7038,0.37019,0.74056,0.78285,0.0015248,0.0015248,0.0015248
14,524.241,0.479,0.7656,0.80865,0.57759,0.82659,0.70845,0.65049,0.38485,0.87263,0.78674,0.0014852,0.0014852,0.0014852
15,561.729,0.46079,0.77043,0.80453,0.62221,0.82659,0.77519,0.7191,0.36796,0.8345,0.78151,0.0014456,0.0014456,0.0014456
16,598.951,0.4748,0.76339,0.8081,0.68398,0.74637,0.7917,0.73008,0.37453,0.74367,0.78366,0.001406,0.001406,0.001406
17,636.59,0.47118,0.76511,0.80687,0.67372,0.76506,0.78,0.72479,0.3598,0.78611,0.78083,0.0013664,0.0013664,0.0013664
18,674.245,0.46803,0.76357,0.80628,0.65376,0.79768,0.78326,0.72363,0.36992,0.78211,0.78261,0.0013268,0.0013268,0.0013268
19,711.825,0.47205,0.78811,0.80912,0.62887,0.84658,0.76149,0.70468,0.37564,0.81576,0.7845,0.0012872,0.0012872,0.0012872
20,749.264,0.46155,0.74296,0.80607,0.69517,0.76623,0.80185,0.74358,0.36576,0.77764,0.78113,0.0012476,0.0012476,0.0012476
21,786.737,0.46933,0.75952,0.8069,0.69242,0.78593,0.81076,0.74025,0.40731,0.77567,0.7933,0.001208,0.001208,0.001208
22,824.028,0.46697,0.75667,0.80655,0.68308,0.75172,0.77708,0.72234,0.35768,0.78783,0.78043,0.0011684,0.0011684,0.0011684
23,861.596,0.45846,0.79058,0.80567,0.6756,0.73981,0.78103,0.72654,0.35551,0.76853,0.77864,0.0011288,0.0011288,0.0011288
24,900.175,0.45543,0.75953,0.80554,0.68772,0.76547,0.80663,0.74816,0.36436,0.78202,0.78084,0.0010892,0.0010892,0.0010892
25,937.726,0.47129,0.73321,0.80897,0.54145,0.8849,0.69943,0.64746,0.3716,0.97879,0.78517,0.0010496,0.0010496,0.0010496
26,975.281,0.46455,0.7491,0.80607,0.69996,0.70894,0.7907,0.73636,0.34683,0.73838,0.77731,0.00101,0.00101,0.00101
27,1012.79,0.45541,0.73801,0.8052,0.69308,0.75783,0.79808,0.74532,0.35086,0.71611,0.77958,0.0009704,0.0009704,0.0009704
28,1052.35,0.4538,0.74984,0.80603,0.71098,0.75921,0.80618,0.74679,0.37584,0.71422,0.78385,0.0009308,0.0009308,0.0009308
29,1092.34,0.45185,0.72337,0.80553,0.72931,0.7479,0.80251,0.75036,0.34356,0.68708,0.77699,0.0008912,0.0008912,0.0008912
30,1131.53,0.45038,0.72231,0.80485,0.59925,0.85867,0.79169,0.73765,0.35051,0.80102,0.77894,0.0008516,0.0008516,0.0008516
31,1171.36,0.45436,0.76504,0.80373,0.68168,0.822,0.81242,0.7614,0.3449,0.72151,0.77897,0.000812,0.000812,0.000812
32,1208.91,0.45173,0.74205,0.8041,0.70118,0.7959,0.8054,0.75146,0.35789,0.68418,0.77959,0.0007724,0.0007724,0.0007724
33,1247.13,0.44212,0.72591,0.803,0.72746,0.72651,0.81048,0.75313,0.36438,0.76769,0.78067,0.0007328,0.0007328,0.0007328
34,1284.66,0.44959,0.70489,0.80458,0.62125,0.85834,0.75499,0.70647,0.34401,0.72147,0.77809,0.0006932,0.0006932,0.0006932
35,1322.15,0.442,0.71535,0.80497,0.64353,0.82888,0.78081,0.73105,0.35367,0.72551,0.77982,0.0006536,0.0006536,0.0006536
36,1359.25,0.43331,0.69982,0.80204,0.6882,0.78576,0.80649,0.75516,0.34882,0.75316,0.77768,0.000614,0.000614,0.000614
37,1397.22,0.43861,0.70462,0.80409,0.68214,0.84596,0.79066,0.73975,0.35841,0.72519,0.78102,0.0005744,0.0005744,0.0005744
38,1434.74,0.43463,0.70728,0.8028,0.68088,0.81054,0.7986,0.74534,0.3589,0.76371,0.78127,0.0005348,0.0005348,0.0005348
39,1472.65,0.43846,0.71823,0.80251,0.71643,0.76431,0.82968,0.76939,0.36895,0.74681,0.78286,0.0004952,0.0004952,0.0004952
40,1510.11,0.43279,0.69391,0.80056,0.7396,0.73121,0.82186,0.77134,0.33736,0.67643,0.7765,0.0004556,0.0004556,0.0004556
41,1590.73,0.42205,0.76484,0.79867,0.66687,0.77688,0.81373,0.76156,0.34477,0.76323,0.77879,0.000416,0.000416,0.000416
42,1627.52,0.42832,0.75878,0.79996,0.63435,0.774,0.79237,0.74104,0.34912,0.70655,0.77832,0.0003764,0.0003764,0.0003764
43,1664.44,0.42372,0.74621,0.79954,0.708,0.765,0.82247,0.76757,0.3502,0.69822,0.77828,0.0003368,0.0003368,0.0003368
44,1701.44,0.42247,0.70996,0.79991,0.71302,0.77158,0.79807,0.7474,0.34594,0.73249,0.77833,0.0002972,0.0002972,0.0002972
45,1744.54,0.41763,0.69902,0.79733,0.6846,0.80519,0.80548,0.75506,0.34572,0.70278,0.77749,0.0002576,0.0002576,0.0002576
46,1782.34,0.42011,0.69034,0.79883,0.72277,0.79865,0.82679,0.77431,0.33893,0.64904,0.77677,0.000218,0.000218,0.000218
47,1820.45,0.41685,0.68686,0.80019,0.71005,0.822,0.80068,0.75065,0.3443,0.672,0.77772,0.0001784,0.0001784,0.0001784
48,1851.74,0.41087,0.72136,0.79624,0.73735,0.74866,0.82276,0.76917,0.34909,0.65021,0.77798,0.0001388,0.0001388,0.0001388
49,1877.71,0.4106,0.68048,0.79674,0.71344,0.81785,0.81943,0.76735,0.34374,0.62842,0.77745,9.92e-05,9.92e-05,9.92e-05
50,1913.19,0.40971,0.67804,0.79794,0.71392,0.82047,0.81643,0.76513,0.34179,0.65214,0.77688,5.96e-05,5.96e-05,5.96e-05
