epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8379,0.6838,1.29777,0.89065,0.43881,0.9152,0.46587,0.41403,0.45735,1.02443,0.82207,0.000662651,0.000662651,0.000662651
2,73.5941,0.61942,0.97911,0.86477,0.57392,0.79144,0.66449,0.57618,0.5164,0.95803,0.84227,0.00131287,0.00131287,0.00131287
3,107.196,0.61498,0.96176,0.86517,0.27788,0.6715,0.25196,0.19792,0.74884,2.62572,0.95589,0.00194658,0.00194658,0.00194658
4,180.358,0.60482,0.90514,0.86522,0.48623,0.89763,0.60068,0.53918,0.44413,1.01025,0.82441,0.00192575,0.00192575,0.00192575
5,252.265,0.57164,0.89662,0.8555,0.45905,0.91673,0.59291,0.50767,0.56473,1.05828,0.85996,0.001901,0.001901,0.001901
6,322.915,0.57218,0.89272,0.84678,0.47421,0.92819,0.58923,0.5353,0.42252,0.90247,0.81032,0.00187625,0.00187625,0.00187625
7,393.246,0.55161,0.88252,0.84394,0.5522,0.89076,0.6201,0.5508,0.45503,0.90061,0.81908,0.0018515,0.0018515,0.0018515
8,463.181,0.54135,0.84616,0.8435,0.53454,0.91682,0.69144,0.625,0.44047,0.85224,0.81737,0.00182675,0.00182675,0.00182675
9,533.183,0.53307,0.8237,0.83917,0.50361,0.88006,0.56309,0.51253,0.39569,0.91412,0.80737,0.001802,0.001802,0.001802
10,603.072,0.52587,0.84031,0.84002,0.59023,0.85561,0.68614,0.62328,0.39378,0.87644,0.8028,0.00177725,0.00177725,0.00177725
11,673.335,0.51809,0.81465,0.83529,0.47253,0.87395,0.5459,0.48554,0.46686,0.96426,0.83036,0.0017525,0.0017525,0.0017525
12,743.141,0.50028,0.80317,0.83153,0.50202,0.9068,0.61094,0.55896,0.39274,0.94564,0.80402,0.00172775,0.00172775,0.00172775
13,813.029,0.50759,0.83527,0.83615,0.56778,0.82582,0.7091,0.65302,0.4095,0.79653,0.80904,0.001703,0.001703,0.001703
14,882.568,0.51112,0.81333,0.83493,0.59579,0.77922,0.70833,0.64832,0.40413,0.82188,0.80857,0.00167825,0.00167825,0.00167825
15,952.585,0.49062,0.83305,0.82546,0.61476,0.83728,0.7164,0.66357,0.39578,0.91357,0.80896,0.0016535,0.0016535,0.0016535
16,1022.31,0.50083,0.80604,0.83167,0.60927,0.8279,0.7024,0.64851,0.38731,0.74527,0.80531,0.00162875,0.00162875,0.00162875
17,1091.68,0.50864,0.80999,0.8319,0.56145,0.89687,0.68656,0.63298,0.37742,0.77276,0.79995,0.001604,0.001604,0.001604
18,1161.34,0.49345,0.80813,0.82741,0.60136,0.84034,0.72848,0.66439,0.41614,0.84114,0.81217,0.00157925,0.00157925,0.00157925
19,1230.71,0.49871,0.81528,0.83222,0.58803,0.90069,0.71261,0.66185,0.37819,0.87222,0.80182,0.0015545,0.0015545,0.0015545
20,1299.65,0.48384,0.78789,0.82798,0.59696,0.84185,0.73244,0.67903,0.38259,0.79961,0.80353,0.00152975,0.00152975,0.00152975
21,1368.82,0.4927,0.77944,0.82877,0.60932,0.88694,0.73086,0.65915,0.43542,0.78915,0.81537,0.001505,0.001505,0.001505
22,1437.98,0.49072,0.79035,0.82835,0.5947,0.76672,0.71964,0.66326,0.39948,0.9507,0.80599,0.00148025,0.00148025,0.00148025
23,1507.18,0.48273,0.83103,0.82663,0.61434,0.81899,0.75248,0.7019,0.36273,0.85643,0.79684,0.0014555,0.0014555,0.0014555
24,1576.55,0.48664,0.79573,0.82776,0.60269,0.8495,0.74533,0.69471,0.37388,0.8094,0.79927,0.00143075,0.00143075,0.00143075
25,1645.75,0.49245,0.76661,0.83019,0.54194,0.87583,0.64125,0.58891,0.38747,1.03393,0.80522,0.001406,0.001406,0.001406
26,1714.54,0.48164,0.77426,0.82635,0.63753,0.7838,0.75189,0.69836,0.36836,0.78952,0.79709,0.00138125,0.00138125,0.00138125
27,1783.62,0.47907,0.75656,0.8255,0.63547,0.84186,0.72698,0.67729,0.37238,0.80401,0.79901,0.0013565,0.0013565,0.0013565
