epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,374.336,0.71325,1.27688,0.86982,0.49742,0.82811,0.61131,0.5094,0.63805,1.43258,0.8542,0.000662651,0.000662651,0.000662651
2,758.023,0.64198,1.0257,0.8492,0.5487,0.8518,0.66449,0.56738,0.52627,1.51856,0.82027,0.00124158,0.00124158,0.00124158
3,944.08,0.62034,0.99888,0.84481,0.48026,0.91346,0.56953,0.50496,0.45663,0.93699,0.8068,0.00173251,0.00173251,0.00173251
4,1142.74,0.59041,0.90423,0.84042,0.54714,0.82353,0.63093,0.53491,0.57169,1.09353,0.83542,0.001604,0.001604,0.001604
5,1422.93,0.56288,0.88655,0.83361,0.47414,0.88717,0.58027,0.49326,0.55968,1.28729,0.84273,0.001472,0.001472,0.001472
6,1652.68,0.55921,0.93314,0.84135,0.48775,0.8867,0.64289,0.57748,0.46232,0.90584,0.81133,0.00134,0.00134,0.00134
7,1878.03,0.5361,0.91861,0.83489,0.52551,0.80901,0.6718,0.6103,0.41517,0.88584,0.80229,0.001208,0.001208,0.001208
8,2174.49,0.52662,0.9225,0.83011,0.4898,0.87548,0.65856,0.59759,0.45152,0.89575,0.81221,0.001076,0.001076,0.001076
9,2463.95,0.53107,0.87814,0.83259,0.58425,0.93812,0.68147,0.62281,0.41046,0.86197,0.79944,0.000944,0.000944,0.000944
10,2723.95,0.50328,0.84905,0.82645,0.52896,0.84586,0.70604,0.64417,0.42461,0.85293,0.80234,0.000812,0.000812,0.000812
11,3063.1,0.49168,0.84935,0.8241,0.58687,0.89856,0.67304,0.61592,0.40165,0.8131,0.79942,0.00068,0.00068,0.00068
12,3301.12,0.47505,0.81337,0.82002,0.57135,0.81131,0.73522,0.67763,0.3893,0.81424,0.79832,0.000548,0.000548,0.000548
13,3642.87,0.46229,0.81338,0.81637,0.60669,0.85943,0.75277,0.70428,0.35835,0.77879,0.79037,0.000416,0.000416,0.000416
14,3908.48,0.4577,0.78683,0.81662,0.62017,0.79374,0.74265,0.69372,0.36645,0.80052,0.79381,0.000284,0.000284,0.000284
15,4214.07,0.44331,0.76137,0.813,0.63986,0.767,0.75846,0.7088,0.35816,0.78008,0.79121,0.000152,0.000152,0.000152
